locatie_id,watersysteemid,locatie_naam,locatie_code,locatie_omschrijving,rw_identificatie,PARAMETER_WAT_OMSCHRIJVING,TIJDSTIP_LAATSTE_METING,geometry
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5ae2,"Eems, Dollard","Eemshaven, Waddenzee",eemshaven.waddenzee,stroommeetpaal,"Eems, Dollard",Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2025-11-27T00:50:00Z,"c(6.821731, 53.474392)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5adf,"Eems, Dollard","Eemshaven, Waddenzee",eemshaven.waddenzee,stroommeetpaal,"Eems, Dollard",Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2025-11-27T01:00:00Z,"c(6.821731, 53.474392)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5a9f,"Eems, Dollard",Huibertgat,huibertgat,Huibertgat,"Eems, Dollard",Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2025-10-01T10:25:00Z,"c(6.398433, 53.57375)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5a5b,"Eems, Dollard","Eemshaven, Waddenzee",eemshaven.waddenzee,stroommeetpaal,"Eems, Dollard",Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2026-07-21T18:20:00Z,"c(6.821731, 53.474392)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5cce,Eemskanaal,Slochtersluis,slochtersluis.boven,Slochtersluis,Eemskanaal,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2026-07-21T18:00:00Z,"c(6.65056, 53.23631)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5c04,Eemskanaal,Delfzijl,delfzijl,Delfzijl,Eemskanaal,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2026-07-21T18:20:00Z,"c(6.931, 53.328)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5bef,Eemskanaal,Delfzijl,delfzijl,Delfzijl,Eemskanaal,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2026-01-01T23:50:00Z,"c(6.931, 53.328)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5b79,Eemskanaal,Delfzijl,delfzijl,Delfzijl,Eemskanaal,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2025-01-01T00:38:00Z,"c(6.931, 53.328)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5a98,Eemskanaal,Delfzijl,delfzijl,Delfzijl,Eemskanaal,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2025-10-01T11:49:00Z,"c(6.931, 53.328)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5d18,Lekkanaal,"Nieuwegein, lekkanaal",nieuwegein.lekkanaal,"Nieuwegein, lekkanaal",Lekkanaal,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2026-07-21T18:20:00Z,"c(5.113007, 52.022729)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5b9c,Lekkanaal,"Nieuwegein, lekkanaal",nieuwegein.lekkanaal,"Nieuwegein, lekkanaal",Lekkanaal,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2025-11-27T00:50:00Z,"c(5.113007, 52.022729)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5d1f,Maas,Elsloo,elsloo.maas,"km 29,325",Maas,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2026-07-21T18:20:00Z,"c(5.755318, 50.957736)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5cfe,Maas,Buggenum Hanssumerweerd,buggenum,"km 85,77",Maas,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2026-07-21T18:20:00Z,"c(5.99556, 51.22999)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5cf9,Maas,Venlo,venlo,"km 107,47",Maas,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2026-07-21T18:20:00Z,"c(6.159406, 51.367387)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5cf3,Maas,Megen Dorp,megen.maas,"km 190,75",Maas,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2026-07-21T18:20:00Z,"c(5.563091, 51.827827)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5ceb,Maas,"Sambeek, beneden",sambeek.beneden,"Sambeek, beneden",Maas,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2026-07-21T18:20:00Z,"c(5.972, 51.6458)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5cea,Maas,"Belfeld, boven",belfeld.boven,"Belfeld, boven",Maas,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2026-07-21T18:20:00Z,"c(6.1123, 51.3189)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5ce6,Maas,Neer,neer,Neer,Maas,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2026-07-21T18:20:00Z,"c(6.0055, 51.2604)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5cbb,Maas,"Sambeek, boven",sambeek.boven,"Sambeek, boven",Maas,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2026-07-21T18:20:00Z,"c(6.0036, 51.63225)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5cae,Maas,Uikhoven,uikhoven,"lm 25,25",Maas,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2026-07-21T18:10:00Z,"c(5.7321, 50.928834)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5cab,Maas,Maastricht Sint Pieter zuid,maastricht.sintpieter.zuid,Maastricht Sint Pieter zuid,Maas,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2026-07-21T18:20:00Z,"c(5.6977, 50.8279)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5ca6,Maas,"Grave, boven",grave.boven,sluis,Maas,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2026-07-21T18:20:00Z,"c(5.743, 51.761)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5c88,Maas,'s-Hertogenbosch Crevecoeur,shertogenbosch.crevecoeur,'s-Hertogenbosch Crevecoeur,Maas,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2026-07-21T17:50:00Z,"c(5.271539, 51.733524)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5c81,Maas,Belfeld beneden,steyl,"km 102,697",Maas,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2026-07-21T18:20:00Z,"c(6.116676, 51.33536)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5c7e,Maas,Linne beneden,linne.stuw.beneden,"km 70,40",Maas,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2026-07-21T18:20:00Z,"c(5.942617, 51.160525)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5c7b,Maas,Meeswijk veer,meeswijk,"km 38,93",Maas,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2026-07-21T18:10:00Z,"c(5.766474, 51.006474)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5c70,Maas,Mook,mook,Mook,Maas,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2026-07-21T18:20:00Z,"c(5.8645, 51.758)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5c5a,Maas,Borgharen Dorp,maastricht.borgharen.maas.beneden,"km 16,00",Maas,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2026-07-21T18:20:00Z,"c(5.691, 50.8724)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5c44,Maas,Lith dorp,lith.beneden,"km 202,37",Maas,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2026-07-21T18:20:00Z,"c(5.432911, 51.810386)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5c38,Maas,"Roermond, boven",roermond.boven,"Roermond, boven",Maas,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2026-07-21T18:20:00Z,"c(5.9815, 51.2005)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5c34,Maas,Stevensweert,stevensweert,Stevensweert,Maas,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2026-07-21T18:20:00Z,"c(5.841665, 51.131088)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5c30,Maas,"Lith, beneden sluis",lith.sluis,"Lith, beneden sluis",Maas,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2026-07-21T18:20:00Z,"c(5.452453, 51.80911)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5c29,Maas,Gennep,gennep,Gennep,Maas,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2026-07-21T18:20:00Z,"c(5.9574, 51.697)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5c1c,Maas,Sint Pieter Noord,maastricht.sintpieter,"km 10,80",Maas,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2026-07-21T18:20:00Z,"c(5.69732, 50.830294)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5c17,Maas,"Grave, beneden",grave.beneden,sluis,Maas,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2026-07-21T18:20:00Z,"c(5.72, 51.775)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5c15,Maas,"Lith, boven",lith.boven,"Lith, boven",Maas,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2026-07-21T18:20:00Z,"c(5.455, 51.81)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5c13,Maas,Well dorp,well,"km 132,10",Maas,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2026-07-21T18:20:00Z,"c(6.09245, 51.54744)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5bf0,Maas,Elsloo,elsloo.maas,"km 29,325",Maas,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2025-11-27T00:50:00Z,"c(5.755318, 50.957736)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5bee,Maas,Borgharen Dorp,maastricht.borgharen.maas.beneden,"km 16,00",Maas,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2025-11-27T00:50:00Z,"c(5.691, 50.8724)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5bec,Maas,Stevensweert,stevensweert,Stevensweert,Maas,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2025-11-27T00:50:00Z,"c(5.841665, 51.131088)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5beb,Maas,Sint Pieter Noord,maastricht.sintpieter,"km 10,80",Maas,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2025-11-27T00:50:00Z,"c(5.69732, 50.830294)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5bc3,Maas,"Roermond, boven",roermond.boven,"Roermond, boven",Maas,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2025-11-27T00:50:00Z,"c(5.9815, 51.2005)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5bc1,Maas,"Sambeek, boven",sambeek.boven,"Sambeek, boven",Maas,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2025-11-27T00:50:00Z,"c(6.0036, 51.63225)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5bba,Maas,Gennep,gennep,Gennep,Maas,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2025-11-27T00:50:00Z,"c(5.9574, 51.697)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5bb9,Maas,Venlo,venlo,"km 107,47",Maas,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2025-11-27T00:50:00Z,"c(6.159406, 51.367387)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5bb8,Maas,"Lith, boven",lith.boven,"Lith, boven",Maas,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2025-11-27T00:50:00Z,"c(5.455, 51.81)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5bb7,Maas,"Grave, boven",grave.boven,sluis,Maas,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2025-11-27T00:50:00Z,"c(5.743, 51.761)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5bb3,Maas,Buggenum Hanssumerweerd,buggenum,"km 85,77",Maas,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2025-11-27T00:50:00Z,"c(5.99556, 51.22999)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5baf,Maas,Lith dorp,lith.beneden,"km 202,37",Maas,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2025-11-27T00:50:00Z,"c(5.432911, 51.810386)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5b92,Maas,"Belfeld, boven",belfeld.boven,"Belfeld, boven",Maas,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2025-11-27T00:50:00Z,"c(6.1123, 51.3189)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5b30,Maas,Well dorp,well,"km 132,10",Maas,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2025-11-27T00:50:00Z,"c(6.09245, 51.54744)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5b2c,Maas,Megen Dorp,megen.maas,"km 190,75",Maas,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2025-11-27T00:50:00Z,"c(5.563091, 51.827827)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5b23,Maas,Uikhoven,uikhoven,"lm 25,25",Maas,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2025-11-27T00:50:00Z,"c(5.7321, 50.928834)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5b21,Maas,Neer,neer,Neer,Maas,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2025-11-27T00:50:00Z,"c(6.0055, 51.2604)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5b1e,Maas,Linne beneden,linne.stuw.beneden,"km 70,40",Maas,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2025-11-27T00:50:00Z,"c(5.942617, 51.160525)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5b1c,Maas,Belfeld beneden,steyl,"km 102,697",Maas,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2025-11-27T00:50:00Z,"c(6.116676, 51.33536)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5b16,Maas,Mook,mook,Mook,Maas,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2025-11-27T00:50:00Z,"c(5.8645, 51.758)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5b10,Maas,"Grave, beneden",grave.beneden,sluis,Maas,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2025-11-27T00:50:00Z,"c(5.72, 51.775)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5b0c,Maas,"Sambeek, beneden",sambeek.beneden,"Sambeek, beneden",Maas,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2025-11-27T00:50:00Z,"c(5.972, 51.6458)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5aee,Maas,Sint Pieter Noord,maastricht.sintpieter,"km 10,80",Maas,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2025-08-05T01:50:00Z,"c(5.69732, 50.830294)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5ae0,Maas,Meeswijk veer,meeswijk,"km 38,93",Maas,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2025-11-27T00:40:00Z,"c(5.766474, 51.006474)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5abb,Maas,Maastricht Sint Pieter zuid,maastricht.sintpieter.zuid,Maastricht Sint Pieter zuid,Maas,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2025-11-27T00:50:00Z,"c(5.6977, 50.8279)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5ab1,Maas,Maastricht Sint Pieter zuid,maastricht.sintpieter.zuid,Maastricht Sint Pieter zuid,Maas,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2025-08-13T01:50:00Z,"c(5.6977, 50.8279)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-590f,Maas,Elsloo,elsloo.maas,"km 29,325",Maas,Waterhoogte in Oppervlaktewater t.o.v. Tweede Algemene Waterpassing in cm,2026-07-21T18:20:00Z,"c(5.755318, 50.957736)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-590d,Maas,Borgharen Dorp,maastricht.borgharen.maas.beneden,"km 16,00",Maas,Waterhoogte in Oppervlaktewater t.o.v. Tweede Algemene Waterpassing in cm,2026-07-21T18:20:00Z,"c(5.691, 50.8724)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-590c,Maas,Stevensweert,stevensweert,Stevensweert,Maas,Waterhoogte in Oppervlaktewater t.o.v. Tweede Algemene Waterpassing in cm,2026-07-21T18:20:00Z,"c(5.841665, 51.131088)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-590b,Maas,Sint Pieter Noord,maastricht.sintpieter,"km 10,80",Maas,Waterhoogte in Oppervlaktewater t.o.v. Tweede Algemene Waterpassing in cm,2026-07-21T18:20:00Z,"c(5.69732, 50.830294)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-590a,Maas,Borgharen Dorp,maastricht.borgharen.maas.beneden,"km 16,00",Maas,Waterhoogte in Oppervlaktewater t.o.v. Tweede Algemene Waterpassing in cm,2025-11-27T00:50:00Z,"c(5.691, 50.8724)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5909,Maas,Elsloo,elsloo.maas,"km 29,325",Maas,Waterhoogte in Oppervlaktewater t.o.v. Tweede Algemene Waterpassing in cm,2025-11-27T00:50:00Z,"c(5.755318, 50.957736)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5908,Maas,Stevensweert,stevensweert,Stevensweert,Maas,Waterhoogte in Oppervlaktewater t.o.v. Tweede Algemene Waterpassing in cm,2025-11-27T00:50:00Z,"c(5.841665, 51.131088)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5906,Maas,Sint Pieter Noord,maastricht.sintpieter,"km 10,80",Maas,Waterhoogte in Oppervlaktewater t.o.v. Tweede Algemene Waterpassing in cm,2025-11-27T00:50:00Z,"c(5.69732, 50.830294)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5904,Maas,Maastricht Sint Pieter zuid,maastricht.sintpieter.zuid,Maastricht Sint Pieter zuid,Maas,Waterhoogte in Oppervlaktewater t.o.v. Tweede Algemene Waterpassing in cm,2025-08-13T01:50:00Z,"c(5.6977, 50.8279)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5ccc,Maas-Waalkanaal,Nijmegen Maaswaalkanaal Inlaat Weurt,nijmegen.maaswaalkanaal.inlaatweurt,Nijmegen Maaswaalkanaal Inlaat Weurt,Maas-Waalkanaal,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2026-07-21T18:10:00Z,"c(5.81146, 51.84111)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5ca7,Maas-Waalkanaal,Malden Maaswaalkanaal Inlaat Teersesluispolder,malden.maaswaalkanaal.inlaatteersesluispolder,Malden Maaswaalkanaal Inlaat Teersesluispolder,Maas-Waalkanaal,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2026-07-21T18:00:00Z,"c(5.83495, 51.78926)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5c72,Maas-Waalkanaal,Nijmegen Maaswaalkanaal Inlaat Landsweijer,nijmegen.maaswaalkanaal.inlaatlandsweijer,Nijmegen Maaswaalkanaal Inlaat Landsweijer,Maas-Waalkanaal,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2026-07-21T18:00:00Z,"c(5.80625, 51.82919)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5930,Maas-Waalkanaal,Malden Maaswaalkanaal Inlaat Teersesluispolder,malden.maaswaalkanaal.inlaatteersesluispolder,Malden Maaswaalkanaal Inlaat Teersesluispolder,Maas-Waalkanaal,Waterhoogte in Oppervlaktewater t.o.v. plaatselijk referentievlak in cm,2025-11-27T00:40:00Z,"c(5.83495, 51.78926)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-592f,Maas-Waalkanaal,Nijmegen Maaswaalkanaal Inlaat Landsweijer,nijmegen.maaswaalkanaal.inlaatlandsweijer,Nijmegen Maaswaalkanaal Inlaat Landsweijer,Maas-Waalkanaal,Waterhoogte in Oppervlaktewater t.o.v. plaatselijk referentievlak in cm,2025-11-27T00:40:00Z,"c(5.80625, 51.82919)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-592e,Maas-Waalkanaal,Nijmegen Maaswaalkanaal Inlaat Weurt,nijmegen.maaswaalkanaal.inlaatweurt,Nijmegen Maaswaalkanaal Inlaat Weurt,Maas-Waalkanaal,Waterhoogte in Oppervlaktewater t.o.v. plaatselijk referentievlak in cm,2025-11-27T00:40:00Z,"c(5.81146, 51.84111)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5cba,Nederrijn,"Amerongen, beneden",amerongen.beneden,"Amerongen, beneden",Nederrijn,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2026-07-21T18:20:00Z,"c(5.404, 51.974)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5ca9,Nederrijn,Westervoort IJsselkop,westervoort.ijsselkop,Westervoort IJsselkop,Nederrijn,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2026-07-21T18:20:00Z,"c(5.953, 51.9507)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5c9e,Nederrijn,"Arnhem, Nederrijn",arnhem.nederrijn,"Arnhem, Nederrijn",Nederrijn,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2026-07-21T18:20:00Z,"c(5.912023, 51.975408)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5c6c,Nederrijn,"Huissen, Nederrijn",huissen.nederrijn,"Huissen, Nederrijn",Nederrijn,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2026-07-21T18:20:00Z,"c(5.962108, 51.933324)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5c2d,Nederrijn,"Amerongen, boven",amerongen.boven,"Amerongen, boven",Nederrijn,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2026-07-21T18:20:00Z,"c(5.4125, 51.9753)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5c1a,Nederrijn,"Driel, boven",driel.boven,"Driel, boven",Nederrijn,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2026-07-21T18:20:00Z,"c(5.810635, 51.96584)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5c03,Nederrijn,Rhenen Grebbeberg,rhenen.grebbeberg,Rhenen Grebbeberg,Nederrijn,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2026-07-21T18:20:00Z,"c(5.589806, 51.949389)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5bfe,Nederrijn,"Driel, beneden",driel.beneden,"Driel, beneden",Nederrijn,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2026-07-21T18:20:00Z,"c(5.802606, 51.962992)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5b4b,Nederrijn,"Huissen, Nederrijn",huissen.nederrijn,"Huissen, Nederrijn",Nederrijn,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2025-11-27T00:50:00Z,"c(5.962108, 51.933324)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5b27,Nederrijn,"Amerongen, beneden",amerongen.beneden,"Amerongen, beneden",Nederrijn,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2025-11-27T00:50:00Z,"c(5.404, 51.974)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5b13,Nederrijn,"Driel, beneden",driel.beneden,"Driel, beneden",Nederrijn,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2025-11-27T00:50:00Z,"c(5.802606, 51.962992)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5b12,Nederrijn,"Arnhem, Nederrijn",arnhem.nederrijn,"Arnhem, Nederrijn",Nederrijn,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2025-11-27T00:50:00Z,"c(5.912023, 51.975408)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5b0f,Nederrijn,Westervoort IJsselkop,westervoort.ijsselkop,Westervoort IJsselkop,Nederrijn,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2025-11-27T00:50:00Z,"c(5.953, 51.9507)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5b0d,Nederrijn,"Driel, boven",driel.boven,"Driel, boven",Nederrijn,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2025-11-27T00:50:00Z,"c(5.810635, 51.96584)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5b05,Nederrijn,Rhenen Grebbeberg,rhenen.grebbeberg,Rhenen Grebbeberg,Nederrijn,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2025-11-27T00:50:00Z,"c(5.589806, 51.949389)"
